Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Modern furnished one-room apartment in Gesundbrunnenkiez,"€1,290",1,1,40 m²,https://wunderflats.com/en/furnished-apartment/modern-furnished-one-room-apartment-in-gesundbrunnenkiez/5f32a11027b35800062d9621?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['one-room'],['apartment'],"['Modern', 'Gesundbrunnenkiez']"
"Wonderful, furnished 2 room apartment in the middle of Berlin",€990,2,1,47 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-furnished-2-room-apartment-in-the-middle-of-berlin/5RSP58PA3C?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,[],"['room', 'apartment', 'middle']","['Wonderful', 'Berlin']"
Lovely & wonderful suite in Gesundbrunnen,"€1,190",1,1,27 m²,https://wunderflats.com/en/furnished-apartment/g/lovely-and-wonderful-suite-in-gesundbrunnen/B1P1Ocj6pLXl?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['wonderful'],['suite'],['Gesundbrunnen']
"Quiet, perfect suite in Mitte (Berlin)","€2,375",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/quiet-perfect-suite-in-mitte-berlin/5ef50a31e3462e0006ae4208?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['Quiet', 'perfect']",['suite'],"['Mitte', 'Berlin']"
Comfortably furnished apartment in Lichtenberg with access to a fantastic roof terrace,€749,1,1,20 m²,https://wunderflats.com/en/furnished-apartment/g/comfortably-furnished-apartment-in-lichtenberg-with-access-to-a-fantastic-roof-terrace/2vL8qeEBt?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['furnished', 'fantastic']","['apartment', 'access', 'roof', 'terrace']",['Lichtenberg']
"fully furnished, cozy studio in central and popular location",€980,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/g/fully-furnished-cozy-studio-in-central-and-popular-location/HyDy0XrVl?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['cozy', 'central', 'popular']","['studio', 'location']",[]
"Wonderful apartment in Friedrichshain, Berlin","€1,250",1,1,42 m²,https://wunderflats.com/en/furnished-apartment/wonderful-apartment-in-friedrichshain-berlin/5fae534b009f41000832ebc2?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['Wonderful'],['apartment'],"['Friedrichshain', 'Berlin']"
Wonderful and pretty home located right in the heart of Berlin,"€2,790",3,2,100 m²,https://wunderflats.com/en/furnished-apartment/wonderful-and-pretty-home-located-right-in-the-heart-of-berlin/5d0cbaa5f5ca650007f27346?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['Wonderful', 'pretty']","['home', 'heart']",['Berlin']
Gorgeous & nice studio,"€1,550",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/gorgeous-and-nice-studio/5e9d92c09064cf0006c7eff4?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['nice'],['studio'],['Gorgeous']
Bright apartment on two floors with balcony in a quiet part of the city (parking),"€2,500",4,2,117 m²,https://wunderflats.com/en/furnished-apartment/bright-apartment-on-two-floors-with-balcony-in-a-quiet-part-of-the-city-parking/5e405a22374a66000799a729?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['quiet'],"['apartment', 'balcony', 'part', 'city']",['Bright']
Charming and quiet studio in Prenzlauer Berg near to Kollwitzplatz,"€1,350",1,1,39 m²,https://wunderflats.com/en/furnished-apartment/charming-and-quiet-studio-in-prenzlauer-berg-near-to-kollwitzplatz/5c56d498fc57dc00089cdd83?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['quiet'],['studio'],"['Prenzlauer', 'Berg', 'Kollwitzplatz']"
Chic & bright apartment with roof terrace in the center of Berlin,"€2,990",4,3,115 m²,https://wunderflats.com/en/furnished-apartment/chic-and-bright-apartment-with-roof-terrace-in-the-center-of-berlin/608320c89889470007b2ad5d?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['bright', 'roof']","['apartment', 'terrace', 'center']","['Chic', 'Berlin']"
Bright and quiet single studio with very good public transport connections,€920,1,1,25 m²,https://wunderflats.com/en/furnished-apartment/g/bright-and-quiet-single-studio-with-very-good-public-transport-connections/H1iTNqg8z?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['quiet', 'single', 'good', 'public']","['studio', 'transport']",['Bright']
Awesome & wonderful studio,"€2,150",2,2,74 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-wonderful-studio/5fa3bcf4f65350000622c4fb?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['wonderful'],['studio'],['Awesome']
Beautiful and spacious apartment in Charlottenburg,"€1,910",2,1,80 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-spacious-apartment-in-charlottenburg/60a6b2bbe6ad850007186275?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['spacious'],['apartment'],"['Beautiful', 'Charlottenburg']"
"Light flooded, modern Apartment near Viktoria Park","€3,670",5,6,150 m²,https://wunderflats.com/en/furnished-apartment/light-flooded-modern-apartment-near-viktoria-park/5c49ef751813bf0006f64fd6?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['modern'],[],"['Light', 'Apartment', 'Viktoria', 'Park']"
"Bright, modern studio in Oberschöneweide","€1,490",1,1,33 m²,https://wunderflats.com/en/furnished-apartment/g/bright-modern-studio-in-oberschoeneweide/HyE499oa68ml?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['modern'],['studio'],"['Bright', 'Oberschöneweide']"
"Modern, bright and quiet 2 room business apartment with balcony in a listed old building in green Pankow","€1,500",2,1,60 m²,https://wunderflats.com/en/furnished-apartment/modern-bright-and-quiet-2-room-business-apartment-with-balcony-in-a-listed-old-building-in-green-pankow/608aaa7f08379f0007779652?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['quiet', 'listed', 'old', 'green']","['bright', 'room', 'business', 'apartment', 'balcony', 'building']","['Modern', 'Pankow']"
Fashionable flat in Hohen Neuendorf,"€1,190",2,1,66 m²,https://wunderflats.com/en/furnished-apartment/fashionable-flat-in-hohen-neuendorf/606c926a13161900072997eb?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Fashionable', 'flat']",[],"['Hohen', 'Neuendorf']"
Edgy luxury apartment located in Berlin Mitte,"€3,950",2,1,127 m²,https://wunderflats.com/en/furnished-apartment/edgy-luxury-apartment-located-in-berlin-mitte/5c8290b8e3eb8a0006d0b20e?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['Edgy'],"['luxury', 'apartment']","['Berlin', 'Mitte']"
"Awesome, cute studio (Moabit)",€980,1,1,28 m²,https://wunderflats.com/en/furnished-apartment/g/awesome-cute-studio-moabit/Sk9XuqoaTIQg?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],"['cute', 'studio']","['Awesome', 'Moabit']"
Spacious Apartment with a Sunny Balcony at Thai Park,"€1,500",2,1,61 m²,https://wunderflats.com/en/furnished-apartment/spacious-apartment-with-a-sunny-balcony-at-thai-park/5f4d0645ee5e1c0006eee1b9?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['Spacious'],['Apartment'],"['Sunny', 'Balcony', 'Thai', 'Park']"
"New, amazing home in Weißensee","€2,550",3,2,103 m²,https://wunderflats.com/en/furnished-apartment/new-amazing-home-in-weissensee/608eb67b72ff960007e2b3f0?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['amazing'],['home'],"['New', 'Weißensee']"
Cute flat (Prenzlauer Berg),"€1,250",1,1,39 m²,https://wunderflats.com/en/furnished-apartment/cute-flat-prenzlauer-berg/604a14bb355e9c000725ad56?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['flat'],[],"['Cute', 'Prenzlauer', 'Berg']"
Studio with balcony with view onto the TV Tower in Berlin Mitte,"€1,400",1,1,44 m²,https://wunderflats.com/en/furnished-apartment/studio-with-balcony-with-view-onto-the-tv-tower-in-berlin-mitte/5e498649ed0c0800069b2f8e?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],"['Studio', 'balcony', 'view', 'TV']","['Tower', 'Berlin', 'Mitte']"
Spacious and cute flat in Karlshorst,"€1,270",2,1,56 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-cute-flat-in-karlshorst/57752f18c8656bf3eccd6a39?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Spacious', 'cute']",['flat'],['Karlshorst']
"Charming, fashionable Maisonette suite in Köpenick","€1,600",1,1,55 m²,https://wunderflats.com/en/furnished-apartment/charming-fashionable-maisonette-suite-in-koepenick/60be2aececd95000086107e9?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['fashionable'],['suite'],"['Charming', 'Maisonette', 'Köpenick']"
Sunny Luxury Apartment with terrace in vibrant neighbourhood Mitte,"€2,700",2,1,63 m²,https://wunderflats.com/en/furnished-apartment/sunny-luxury-apartment-with-terrace-in-vibrant-neighbourhood-mitte/58135f5ee8450705c735f7d3?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Sunny', 'vibrant']","['terrace', 'neighbourhood']","['Luxury', 'Apartment', 'Mitte']"
"Pretty, perfect studio in Karlshorst","€1,085",1,1,25 m²,https://wunderflats.com/en/furnished-apartment/g/pretty-perfect-studio-in-karlshorst/Sk5pa-bTx?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['perfect'],['studio'],['Karlshorst']
Lovingly furnished and homely apartment in beautiful area,€890,1,1,34 m²,https://wunderflats.com/en/furnished-apartment/g/lovingly-furnished-and-homely-apartment-in-beautiful-area/MzQuPfj69E?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['beautiful'],"['apartment', 'area']",[]
Great suite located in Charlottenburg (Berlin),"€1,350",1,1,36.75 m²,https://wunderflats.com/en/furnished-apartment/g/great-suite-located-in-charlottenburg-berlin/qbTc71oZ7V?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],['suite'],"['Great', 'Charlottenburg', 'Berlin']"
Neat apartment in excellent location,"€1,400",1,1,45 m²,https://wunderflats.com/en/furnished-apartment/neat-apartment-in-excellent-location/596c74fbef2417184583d3cc?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['excellent'],"['apartment', 'location']",['Neat']
Awesome home in Tiergarten,"€1,300",1,1,36 m²,https://wunderflats.com/en/furnished-apartment/g/awesome-home-in-tiergarten/i6CO5sQia_?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],['home'],"['Awesome', 'Tiergarten']"
Exclusive designer apartment near KaDeWe in a spectacular 1920s building,"€2,500",2,1,76 m²,https://wunderflats.com/en/furnished-apartment/exclusive-designer-apartment-near-kadewe-in-a-spectacular-1920s-building/60c30cfce4f55f00073c1687?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Exclusive', 'spectacular']","['designer', 'apartment', 'building']",['KaDeWe']
"Pretty, spacious studio (Wilmersdorf) ( Category S )","€1,400",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/g/pretty-spacious-studio-wilmersdorf-category-s/EPjtueNrJ?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['spacious'],['studio'],"['Wilmersdorf', 'Category', 'S']"
Living in the heart of Berlin - luxury apartment at Monbijoupark,"€1,600",2,2,41 m²,https://wunderflats.com/en/furnished-apartment/living-in-the-heart-of-berlin-luxury-apartment-at-monbijoupark/60d4e4077587370007ffe6aa?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],"['heart', 'luxury', 'apartment']","['Berlin', 'Monbijoupark']"
Modern designed and spacious apartment in Berlin-Mitte,"€2,600",4,4,130 m²,https://wunderflats.com/en/furnished-apartment/modern-designed-and-spacious-apartment-in-berlin-mitte/5845bf736780a855f17d44f2?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['spacious'],['apartment'],"['Modern', 'Berlin-Mitte']"
Superior Studios-Apartments in a quiet central location near Kurfürstendamm (# 206 Category S),"€1,320",1,1,34 m²,https://wunderflats.com/en/furnished-apartment/g/superior-studios-apartments-in-a-quiet-central-location-near-kurfuerstendamm-206-category-s/05eHIxNlw?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Superior', 'quiet', 'central']",['location'],"['Kurfürstendamm', 'Category', 'S']"
Lovely & fashionable flat in Prenzlauer Berg,"€1,500",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/lovely-and-fashionable-flat-in-prenzlauer-berg/5b7e7e796a6b62f06d025ed9?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['fashionable'],['flat'],"['Prenzlauer', 'Berg']"
Spacious and lovely apartment (Berlin),"€1,690",2,2,84 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-lovely-apartment-berlin/605707ddd2bfe90007f00f06?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Spacious', 'lovely']",['apartment'],['Berlin']
Stylish and new studio apartment in Pankow (Niederschönhausen) with balcony and garden,"€1,150",2,2,43 m²,https://wunderflats.com/en/furnished-apartment/stylish-and-new-studio-apartment-in-pankow-niederschoenhausen-with-balcony-and-garden/603e9b97f516eb00076cad04?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Stylish', 'new']","['studio', 'apartment', 'balcony', 'garden']","['Pankow', 'Niederschönhausen']"
"Quiet, fully furnished 2-room apartment with balcony in Prenzlauer Berg","€1,800",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/quiet-fully-furnished-2-room-apartment-with-balcony-in-prenzlauer-berg/5caf1b1ab8399700076cc518?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['Quiet', '2-room']","['apartment', 'balcony']","['Prenzlauer', 'Berg']"
Modern and cozy studio-apartment in Prenzlauer Berg,€960,1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/modern-and-cozy-studio-apartment-in-prenzlauer-berg/XFrUqhgVt?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['cozy'],['studio-apartment'],"['Modern', 'Prenzlauer', 'Berg']"
Bright & awesome loft in the middle of Moabit/Mitte,"€1,330",3,2,54 m²,https://wunderflats.com/en/furnished-apartment/bright-and-awesome-loft-in-the-middle-of-moabitmitte/5cdabd6d54b3dd00069afb86?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['awesome'],"['loft', 'middle']","['Bright', 'Moabit/Mitte']"
Charming & bright home,"€1,850",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/charming-and-bright-home/60db52041970470007b5a3bf?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,[],['home'],['Charming']
"Wonderful, quiet suite in nice area","€1,690",1,1,26 m²,https://wunderflats.com/en/furnished-apartment/g/wonderful-quiet-suite-in-nice-area/SyVUN9iTa8Qx?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,"['quiet', 'nice']","['suite', 'area']",['Wonderful']
"New, fantastic studio in Friedenau","€1,540",2,1,53 m²,https://wunderflats.com/en/furnished-apartment/new-fantastic-studio-in-friedenau/5e089c20f7ad5000061cf45c?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['fantastic'],['studio'],"['New', 'Friedenau']"
Awesome & pretty flat,"€1,500",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-pretty-flat/5c333314a6b618000652d51a?dataLayerKey=GpMBc0c-sRWKo9ltaKttD,['flat'],[],['Awesome']
Stylish home located in Kreuzberg,"€1,400",2,1,45 m²,https://wunderflats.com/en/furnished-apartment/stylish-home-located-in-kreuzberg/60b7352b3d5aff0007483464?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Stylish'],['home'],['Kreuzberg']
"Gorgeous, wonderful apartment in Mitte","€1,950",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/g/gorgeous-wonderful-apartment-in-mitte/tBRoyXhj-2?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['wonderful'],['apartment'],"['Gorgeous', 'Mitte']"
"Spacious, new and bright flat in vibrant Kreuzberg","€1,750",2,1,80 m²,https://wunderflats.com/en/furnished-apartment/spacious-new-and-bright-flat-in-vibrant-kreuzberg/5f43d2034d1ecb00079485f4?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['new', 'bright', 'vibrant']",['flat'],"['Spacious', 'Kreuzberg']"
"Awesome, pretty loft in the heart of town (Apt 2 - 4078)","€1,590",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/awesome-pretty-loft-in-the-heart-of-town-apt-2-4078/56ec0435716158ff45c42c66?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['loft'],"['heart', 'town']","['Awesome', 'Apt']"
High quality designer loft in the heart of Berlin,"€2,550",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/high-quality-designer-loft-in-the-heart-of-berlin/5f0c9154c329fc0006a00c88?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['High'],"['quality', 'designer', 'loft', 'heart']",['Berlin']
Perfect apartment in Nuthe-Urstromtal nwar Luckenwalde,€649,2,5,75 m²,https://wunderflats.com/en/furnished-apartment/g/perfect-apartment-in-nuthe-urstromtal-nwar-luckenwalde/l9hnoTirmk?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['Perfect', 'nwar']",['apartment'],"['Nuthe-Urstromtal', 'Luckenwalde']"
Pretty apartment in Marzahn,"€1,050",1,1,21 m²,https://wunderflats.com/en/furnished-apartment/g/pretty-apartment-in-marzahn/auB_ervTvP?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],['apartment'],"['Pretty', 'Marzahn']"
Lovely Studio in Prenzlauer Berg,€690,1,1,35 m²,https://wunderflats.com/en/furnished-apartment/lovely-studio-in-prenzlauer-berg/5b6589529892bf5e0b1158fb?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],[],"['Studio', 'Prenzlauer', 'Berg']"
Awesome and wonderful suite,"€1,490",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/g/awesome-and-wonderful-suite/qy99loiSKY?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['wonderful'],['suite'],['Awesome']
Fashionable apartment (Schöneberg),"€1,270",1,1,33.17 m²,https://wunderflats.com/en/furnished-apartment/fashionable-apartment-schoeneberg/5ea029520eb7290006b8dcc4?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Fashionable'],['apartment'],['Schöneberg']
"Pretty and perfect loft in Mitte, Berlin","€1,250",1,1,39 m²,https://wunderflats.com/en/furnished-apartment/pretty-and-perfect-loft-in-mitte-berlin/5c12847d54f44e00051d5f8c?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['perfect'],['loft'],"['Pretty', 'Mitte', 'Berlin']"
10th floor - 360° view - luxury apartment,"€4,500",4,4,130 m²,https://wunderflats.com/en/furnished-apartment/10th-floor-360-view-luxury-apartment/601f08be23a15c0007a21abd?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['10th'],"['floor', 'view', 'luxury', 'apartment']",[]
"Spacious, bright, newly renovated apartment with private garden","€2,790",3,2,112 m²,https://wunderflats.com/en/furnished-apartment/spacious-bright-newly-renovated-apartment-with-private-garden/5dd1cf05790c6c0007446bce?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['Spacious', 'bright', 'private']","['apartment', 'garden']",[]
Fashionable & nice loft (Mitte),"€2,640",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/g/fashionable-and-nice-loft-mitte/IwEemZMp2x?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['nice'],['loft'],"['Fashionable', 'Mitte']"
Furnished 35sqm Studios with Kitchenette in Berlin Schoeneberg with Anmeldung,"€1,400",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/g/furnished-35sqm-studios-with-kitchenette-in-berlin-schoeneberg-with-anmeldung/kQeesweZmF9svFM3CrS9c?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],[],"['Kitchenette', 'Berlin', 'Schoeneberg', 'Anmeldung']"
Cozy and charmingly furnished studio close by TESLA Gigafactory,"€1,350",2,1,58 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-charmingly-furnished-studio-close-by-tesla-gigafactory/60cf53a569fe00000706a6d2?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['furnished'],['studio'],"['Cozy', 'TESLA', 'Gigafactory']"
Perfect flat in nice area,"€1,250",1,1,46 m²,https://wunderflats.com/en/furnished-apartment/perfect-flat-in-nice-area/60507ad4793a560007708475?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['flat', 'nice']",['area'],['Perfect']
Furnished 2 room apartment in Charlottenburg,"€1,300",2,3,65 m²,https://wunderflats.com/en/furnished-apartment/g/furnished-2-room-apartment-in-charlottenburg/XSMPKFss45?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Furnished'],"['room', 'apartment']",['Charlottenburg']
Large apartment with balcony on the Weissensee lake,"€1,170",1,1,37 m²,https://wunderflats.com/en/furnished-apartment/g/large-apartment-with-balcony-on-the-weissensee-lake/qHFgsN_xNWdXmHaoJYzJG?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Large'],"['apartment', 'balcony', 'lake']",['Weissensee']
Serviced Apartment - Pine Classic,"€1,450",1,1,31 m²,https://wunderflats.com/en/furnished-apartment/g/serviced-apartment-pine-classic/rJV34-H-Q?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['Classic'],['Pine'],"['Serviced', 'Apartment']"
Cosy 2 room apartment with balcony in Zehlendorf with good connection,"€1,450",2,1,67 m²,https://wunderflats.com/en/furnished-apartment/cosy-2-room-apartment-with-balcony-in-zehlendorf-with-good-connection/5f8ff0427b6a6f0007365d60?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['Cosy', 'good']","['room', 'apartment', 'balcony', 'connection']",['Zehlendorf']
Amazing suite located in Mitte,"€1,690",1,1,55 m²,https://wunderflats.com/en/furnished-apartment/g/amazing-suite-located-in-mitte/agwtxFv11U?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],['suite'],"['Amazing', 'Mitte']"
"Beautiful, neat studio located in Prenzlauer Berg | Mauerpark","€1,780",1,1,38 m²,https://wunderflats.com/en/furnished-apartment/beautiful-neat-studio-located-in-prenzlauer-berg-or-mauerpark/59edddb6ec409ee68fcd70de?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,['neat'],['studio'],"['Beautiful', 'Prenzlauer', 'Berg', '|', 'Mauerpark']"
"bright and cosy apartment in most wanted Prenzlauer Berg, close to Kollwitzkiez","€1,440",2,2,49 m²,https://wunderflats.com/en/furnished-apartment/bright-and-cosy-apartment-in-most-wanted-prenzlauer-berg-close-to-kollwitzkiez/60e050ad474c41000803cc13?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,"['cosy', 'wanted']","['bright', 'apartment']","['Prenzlauer', 'Berg', 'Kollwitzkiez']"
Single Apartment with Kitchenette at the Weißensee,€930,1,1,22 m²,https://wunderflats.com/en/furnished-apartment/g/single-apartment-with-kitchenette-at-the-weissensee/uX62JTU1DLJxdRPD-ezTm?dataLayerKey=bpLsRZuRCRfvBSsm-QCxs,[],[],"['Single', 'Apartment', 'Kitchenette', 'Weißensee']"
